nhẹ tễnh
thủi lủi
vai rộng
là gì
là phẳng
phương tuấn
vào hang
đen tuyền
láy vần
láy từ
yêu em
yêu anh
thiệp chúc
tàu con
thiệp cưới
mời cưới
mời khách
lĩnh lương
tung lồn
mọc lông
mọc rêu
xọc xọc
ai rảnh
ai biết
ai đó
khôn ranh
khôn thế
thố lố
với tới
thố cơm
quang quắc
với tay
căn tu
bung lụa
tát nước
át chủ
tát đau
át vía
tát mạnh
át cơ
lên đồ
lên đỉnh
cơn mơ
cơn mê
cơn nghiện
xã đàn
đó giờ
cơ hàm
quái xế
quái thú
nắng ấm
cốm xanh
lõi kép
mép môi
lõi lọc
lõi lạc
đời bạc
bạc đời
kịch hài
phận người
phận đời
đen xì
đài cát
thù ác
sắt gỉ
ty tỷ
vụn vỡ
vụn bánh
ty thể
quắp nách
gióng lên
chú thuật
nhì bảng
 thức đêm
quyền trượng
lọc nước
giấy trắng
cườm mắt
nghiệp trướng
ngôn tình
án oan
lệch nhau
mạng mẽo
chế rượu
trời quang
át bích
cách cách
vật tế
tế công
át giọng
át đi
quãng nhạc
quãng đường
quãng ngắn
thõa mãn
quãng tám
quãng nghỉ
bữa tối
tóc tết
tai thỏ
tóc bết
quãng đời
quãng âm
bò vàng
bò lăn
nước cống
tanh tảnh
triện thư
mồm thối
bâu bám
triện rồng
triện tròn
triện đồng
triện ngọc
triện vuông
lấp đất
lửng mật
triện hương
vãn lại
mép vải
đá suối
hồng xè
dìu nhau
dìu bước
sen hồng
lòng người
lòng non
giọng ca
tỉnh thức
tỉnh ri
dậy đi
mùi hương
hương nhài
hợp hoan
lòng mề
mề gan
nộ công
thép gỉ
thép gai
đợi mong
trông nóng
thép nhôm
thép cuộn
thép đinh
cổ trang
thép hợp
thép rỉ
thép cứng
sắt bạc
thép không
thép ống
thép tấm
thép tốt
tự lâm
tự tâm
vọng ước
thép đồng
vọng dục
chích chèo
ảnh ọt
chụp choẹt
minh quan
sơ xác
phủ lý
sẻ đôi
cơm canh
cơm trắng
chiên cơm
chiên xào
chiên thịt
chiên trứng
xì trét
ngon nghẻ
lặn sâu
ra máu
trời mây
hành ngò
đẻ sinh
nhát cáy
con tôm
cái địt
tao mày
chóc vảy
buồi to
hét toáng
hét hò
mè rang
mè sửng
gỉ tai
mũi mắt
quần què
trái phải
đoàn đội
vở viết
lách luật
hát ca
dù lượn
lượn lách
rút dây
mặt gương
gương kính
chảy xệ
chọi trâu
đồng tân
hướng rẽ
đề toán
khuẩn vi
dột nóc
dột nhà
dột nước
rông chơi
rông biển
khí ga
khí nóng
cuội đá
tót vót
cuội sỏi
cuội nguồn
đâu kia
là đó
người dơi
người ngu
thác đổ
nước đổ
lã trã
xiếc thú
ra chơi
là lả
là lá
hát ca
dù lượn
lượn lách
rút dây
rút giấy
mặt gương
gương kính
chảy xệ
chặt chẽo
chặt củi
chặt gỗ
gỗ mun
lá sung
kịch nghệ
cua đỏ
cua sông
biển bạc
nhát chết
dao dĩa
nắp hòm
nắp hộp
nắp chai
nắp đậy
nắp thùng
nắp bình
nắp che
nắp lọ
nắp bồn
nắp cống
tiết lị
thố đá
thố sứ
lọc cặn
tạng người
phủ lên
liêu trai
liêu riêu
lòng lợn
dạ dạ
dạ lòng
tật ách
xí hổ
sóng ập
sóng vỗ
khơi ra
mào đỏ
chọi nhau
chọi đá
chọi trâu
đồng tân
hướng rẽ
đề toán
khuẩn vi
dột nóc
dột nhà
dột nước
rông chơi
rông biển
khí ga
khí nóng
cuội đá
tót vót
cuội sỏi
cuội nguồn
đâu kia
là đó
người dơi
người ngu
thác đổ
nước đổ
lã trã
xiếc thú
ra chơi
là lả
là lá
là người
hủ mắm
đài cao
má lợn
lửa hồng
lửa lớn
cừu con
già trẻ
gì cơ
gì vậy
cung thủ
phán sét
nhánh đen
cảm cúm
mạnh ghê
bụi bẩn
bụi bám
cây dâu
gió giông
gió thổi
gió bay
gió chiều
huệ lâm
gì đây
hét to
hét vang
hét lớn
xửng bánh
xửng hấp
lực hút
bẵng nhẵng
độ cồn
phấn má
chàm chậm
đàn bò
lông chim
mẩn đỏ
nhận quà
mẩn mê
đẹp gái
đào tươi
gió to
gió lớn
gió lạnh
gió nóng
tựa như
tựa vai
đào chín
là sao
nguyện độ
huệ vương
huệ đế
suất chiếu
suất diễn
chuông gió
chuông cửa
chuông báo
chuông đồng
bảo ngọc
xiếc khỉ
bột ớt
buồm căng
chọn đồ
chọn món
chớ có
chớ dại
vó ngựa
vó bè
khóa mã
bảng điểm
nhạc cổ
liềm hái
chim hót
chim bay
gọng kính
sườn bò
sườn nướng
lớn bé
bé xinh
bé yêu
gái xinh
gái đẹp
ong đốt
giải đố
cái chăn
cái cọ
cuốc đất
cuốc xẻng
cuốc mướn
miệng thối
vải chua
vải dệt
ơi hỡi
đâu rồi
lở đất
lở tay
treo tường
treo tranh
lở miệng
gái gú
lửa thiêu
bỏng mắt
bỏng da
thải rác
diện đầm
diện đồ
đáp ơn
ảnh bìa
ảnh đẹp
răng miệng
tát nhau
hợp đôi
nga ngố
đáp gọn
bang bang
với lấy
lệ rơi
ngưu lang
miệng hang
hò huế
hò vè
khoan tường
lên máu
nhạc cháy
nhạc xưa
nhạc hay
đẽo củi
đẽo gỗ
xuân hạ
ốc vít
báo đốm
màng bọc
nhĩ căn
lược chải
nếp nang
nếp dẻo
nhóm lửa
nhóm bạn
vịt vàng
soái ca
phím tắt
phím đàn
cao vót
bay xa
quanh đây
trưởng nhóm
tuồng chèo
tuồng cải
kẹo dẻo
kẹo kéo
kẹo chua
kẹo ngọt
tây du
xanh lá
nhặt rác
hồn ma
hồn bay
nhặt đồ
nhặt thẻ
mặt mộc
chước sách
chước châm
chước trà
nhặt xu
nhặt tiền
đống hàng
tàn phai
buôn chuyện
con muỗi
tên giả
con lợn
heo con
vía hên
vía nhẹ
vía nặng
mặt trong
mặt tròn
cưa sắt
cưa cổ
cưa gỗ
cưa vàng
cưa cẩm
cưa đổ
móc đồ
vàng cam
đậm chất
đẽo cày
gọt trái
gọt bút
gọt nhọn
ly giấy
muốn ước
chét bơ
lượng muối
bày bừa
tỏ lòng
rạp cưới
nguyện dâng
khuẩn cấp
tích xanh
hổ gầm
toàn mạng
bộ bài
lưng đồi
lưng gù
cản gió
nghiệp quật
vịt con
hổ mẹ
cau cáu
thầu đề
mây trôi
vắt sữa
vắt cạn
đạo trích
hổ báo
hổ tử
ghép đơn
xúp cua
luồn kim
luồn tay
chung tay
đo áo
lộn vòng
hổ cáp
đây nè
ngồi gần
tua ngược
hổ con
còn sức
đời thực
đời thật
thứ tha
đất mẹ
răng nhọn
răng sứ
răng trắng
bộ phim
vọt xa
vọt xà
vọt qua
vọt lên
trị thương
tượng đá
các bác
các bài
các nước
các đảng
mắt người
thương nhau
gạch đá
sắc đỏ
thái hóa
đẹp xinh
đẹp lắm
mê mang
tịt mắt
đất nền
đuổi việc
tóc ngắn
tóc mái
biểu ca
ngày mốt
chùng nhão
chùng xuống
kinh thư
đào than
đào vàng
đỏ lè
lẫm cẩm
lệ cay
ơn cha
ơn trời
diệt muỗi
diệt mối
mệnh yểu
đức phật
đức thánh
hạc giấy
hạc bay
hạc trắng
nghệch ngoạc
quắt lại
đẽo đục
bi thép
gọt cam
gọt vỏ
lắc tay
gọt cằm
lắc bạc
gọt quả
lắc cầu
nghẽn mạng
nghẽn đờm
khố chuối
nghẽn ngào
dở tệ
nghẽn cống
rẽ qua
rẽ phải
thoại bản
cải lộn
mạng người
thiếu gia
khoá cổ
trang mạng
bặm môi
tròng mắt
mộ đẹp
tròng kính
hiu hoắt
long bình
hắt sáng
hơi thúi
tráng bánh
tráng gương
